Date,T_Avg,RR
1/1/2019,26.490,11.982
2/1/2019,26.815,10.208
3/1/2019,26.552,9.840
4/1/2019,27.393,8.072
5/1/2019,27.570,2.354
6/1/2019,26.702,0.722
7/1/2019,26.236,49.602
8/1/2019,26.183,0.140
9/1/2019,26.961,0.387
10/1/2019,27.944,1.140
11/1/2019,28.173,2.501
12/1/2019,27.313,8.248
1/1/2020,26.777,12.818
2/1/2020,26.486,20.817
3/1/2020,27.046,12.198
4/1/2020,27.412,9.702
5/1/2020,27.640,7.722
6/1/2020,27.213,2.112
7/1/2020,26.638,2.015
8/1/2020,26.920,2.454
9/1/2020,27.542,1.860
10/1/2020,27.255,6.295
11/1/2020,27.464,5.078
12/1/2020,26.402,11.729
